empty silica, 22.11.2024, 14:13
Diameter[mm] 1.900e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.0000e+06	 0.0000e+00	 1.7820e+00	 7.2439e-04	 4.0281e-10	-4.3484e-07	 2.2357e-11	 1.7512e+07	 2.8824e+02	 1.2560e+01
 3.1646e+05	 0.0000e+00	 1.7825e+00	 2.0230e-03	 3.5599e-10	-1.3770e-07	 2.2364e-11	 1.9815e+07	 2.8823e+02	 1.5250e+01
 1.0014e+05	 0.0000e+00	 1.7837e+00	 3.7147e-03	 2.0686e-10	-4.3640e-08	 2.2378e-11	 3.4101e+07	 2.8823e+02	 1.7690e+01
 3.1691e+04	 0.0000e+00	 1.7861e+00	 7.8133e-03	 1.3769e-10	-1.3853e-08	 2.2409e-11	 5.1231e+07	 2.8822e+02	 2.0270e+01
 1.0029e+04	 0.0000e+00	 1.7924e+00	 1.6869e-02	 9.4073e-11	-4.4187e-09	 2.2487e-11	 7.4984e+07	 2.8821e+02	 2.2880e+01
 3.1737e+03	 0.0000e+00	 1.8084e+00	 3.0116e-02	 5.3148e-11	-1.4267e-09	 2.2689e-11	 1.3272e+08	 2.8821e+02	 2.5310e+01
 1.0043e+03	 0.0000e+00	 1.8299e+00	 4.3389e-02	 2.4231e-11	-4.6349e-10	 2.2959e-11	 2.9111e+08	 2.8820e+02	 2.8000e+01
 3.1783e+02	 0.0000e+00	 1.8449e+00	 8.3977e-02	 1.4841e-11	-1.4933e-10	 2.3147e-11	 4.7529e+08	 2.8819e+02	 3.0500e+01
 1.0058e+02	 0.0000e+00	 1.8687e+00	 2.2594e-01	 1.2636e-11	-4.8582e-11	 2.3445e-11	 5.5823e+08	 2.8818e+02	 3.3160e+01
 3.1829e+01	 0.0000e+00	 1.9500e+00	 6.4262e-01	 1.1374e-11	-1.6814e-11	 2.4465e-11	 6.2021e+08	 2.8817e+02	 3.6030e+01
 1.0072e+01	 0.0000e+00	 2.2012e+00	 1.8083e+00	 1.0128e-11	-6.7277e-12	 2.7616e-11	 6.9649e+08	 2.8816e+02	 3.9140e+01
 3.1874e+00	 0.0000e+00	 2.8324e+00	 5.0344e+00	 8.9230e-12	-3.2477e-12	 3.5535e-11	 7.9054e+08	 2.8815e+02	 4.4690e+01
 1.0087e+00	 0.0000e+00	 4.4122e+00	 1.4055e+01	 7.8836e-12	-1.9139e-12	 5.5356e-11	 8.9477e+08	 2.8813e+02	 5.0440e+01
 1.0000e+06	 4.7700e+01	 1.7821e+00	 6.9410e-04	 3.8596e-10	-4.3488e-07	 2.2358e-11	 1.8276e+07	 2.8811e+02	 5.8310e+01
 3.1646e+05	 4.7700e+01	 1.7858e+00	 9.8226e-04	 1.7285e-10	-1.3827e-07	 2.2405e-11	 4.0810e+07	 2.8811e+02	 6.1020e+01
 1.0014e+05	 4.7700e+01	 1.7875e+00	 3.4557e-03	 1.9244e-10	-4.3851e-08	 2.2426e-11	 3.6656e+07	 2.8810e+02	 6.3440e+01
 3.1691e+04	 4.7700e+01	 1.7870e+00	 7.1180e-03	 1.2544e-10	-1.3868e-08	 2.2420e-11	 5.6236e+07	 2.8809e+02	 6.6030e+01
 1.0029e+04	 4.7700e+01	 1.7937e+00	 1.5087e-02	 8.4133e-11	-4.4263e-09	 2.2504e-11	 8.3843e+07	 2.8808e+02	 6.8630e+01
 3.1737e+03	 4.7700e+01	 1.8089e+00	 2.8730e-02	 5.0702e-11	-1.4275e-09	 2.2694e-11	 1.3912e+08	 2.8808e+02	 7.1190e+01
 1.0043e+03	 4.7700e+01	 1.8304e+00	 4.2128e-02	 2.3527e-11	-4.6377e-10	 2.2965e-11	 2.9982e+08	 2.8808e+02	 7.3810e+01
 3.1783e+02	 4.7700e+01	 1.8456e+00	 8.2413e-02	 1.4565e-11	-1.4945e-10	 2.3155e-11	 4.8431e+08	 2.8807e+02	 7.6310e+01
