, 10.1.2025, 14:1
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.0000e+06	 0.0000e+00	 1.6860e+00	 1.7912e-02	 9.9604e-09	-3.8145e-07	 1.3184e-11	 1.1363e+06	 3.4311e+02	 1.0270e+01
 5.0000e+05	 0.0000e+00	 1.6944e+00	 2.2009e-02	 6.1192e-09	-1.9305e-07	 1.3249e-11	 1.8495e+06	 3.4312e+02	 1.2940e+01
 2.5000e+05	 0.0000e+00	 1.7007e+00	 2.7548e-02	 3.8295e-09	-9.7405e-08	 1.3299e-11	 2.9554e+06	 3.4312e+02	 1.5620e+01
 1.2500e+05	 0.0000e+00	 1.7146e+00	 3.2058e-02	 2.2283e-09	-4.9669e-08	 1.3407e-11	 5.0792e+06	 3.4312e+02	 1.8250e+01
 6.2500e+04	 0.0000e+00	 1.7307e+00	 3.5026e-02	 1.2173e-09	-2.5396e-08	 1.3534e-11	 9.2974e+06	 3.4312e+02	 2.0810e+01
 3.1250e+04	 0.0000e+00	 1.7461e+00	 3.5044e-02	 6.0896e-10	-1.2966e-08	 1.3654e-11	 1.8585e+07	 3.4313e+02	 2.3620e+01
 1.5625e+04	 0.0000e+00	 1.7614e+00	 3.4948e-02	 3.0364e-10	-6.6157e-09	 1.3774e-11	 3.7273e+07	 3.4313e+02	 2.6190e+01
 7.8125e+03	 0.0000e+00	 1.7763e+00	 3.5495e-02	 1.5420e-10	-3.3724e-09	 1.3890e-11	 7.3397e+07	 3.4311e+02	 2.8950e+01
 3.9062e+03	 0.0000e+00	 1.7900e+00	 3.7495e-02	 8.1443e-11	-1.7160e-09	 1.3997e-11	 1.3896e+08	 3.4312e+02	 3.1620e+01
 1.9531e+03	 0.0000e+00	 1.8051e+00	 4.2155e-02	 4.5783e-11	-8.7437e-10	 1.4115e-11	 2.4721e+08	 3.4312e+02	 3.4370e+01
 9.7656e+02	 0.0000e+00	 1.8213e+00	 5.0361e-02	 2.7348e-11	-4.4599e-10	 1.4242e-11	 4.1384e+08	 3.4313e+02	 3.6810e+01
 4.8828e+02	 0.0000e+00	 1.8409e+00	 6.3804e-02	 1.7324e-11	-2.2831e-10	 1.4395e-11	 6.5331e+08	 3.4313e+02	 3.9470e+01
 2.4414e+02	 0.0000e+00	 1.8662e+00	 8.4844e-02	 1.1518e-11	-1.1759e-10	 1.4593e-11	 9.8260e+08	 3.4313e+02	 4.2200e+01
 1.2207e+02	 0.0000e+00	 1.8984e+00	 1.1718e-01	 7.9542e-12	-6.0983e-11	 1.4845e-11	 1.4229e+09	 3.4313e+02	 4.4860e+01
 6.1035e+01	 0.0000e+00	 1.9425e+00	 1.6701e-01	 5.6681e-12	-3.1988e-11	 1.5190e-11	 1.9967e+09	 3.4313e+02	 4.7620e+01
 3.0518e+01	 0.0000e+00	 2.0071e+00	 2.4239e-01	 4.1133e-12	-1.7090e-11	 1.5695e-11	 2.7515e+09	 3.4314e+02	 5.0560e+01
 1.5259e+01	 0.0000e+00	 2.1081e+00	 3.5486e-01	 3.0109e-12	-9.4016e-12	 1.6484e-11	 3.7589e+09	 3.4314e+02	 5.3440e+01
 7.6294e+00	 0.0000e+00	 2.2738e+00	 5.1061e-01	 2.1662e-12	-5.4042e-12	 1.7781e-11	 5.2246e+09	 3.4314e+02	 5.5870e+01
 1.9073e+00	 0.0000e+00	 2.9548e+00	 8.2208e-01	 8.7190e-13	-2.0733e-12	 2.3105e-11	 1.2980e+10	 3.4315e+02	 5.9440e+01
 4.7684e-01	 0.0000e+00	 3.7894e+00	 6.4859e-01	 1.7197e-13	-7.3962e-13	 2.9632e-11	 6.5811e+10	 3.4315e+02	 6.9060e+01
 1.0000e-01	 0.0000e+00	 4.1204e+00	 4.4300e-01	 2.4633e-14	-1.7351e-13	 3.2220e-11	 4.5944e+11	 3.4317e+02	 1.1402e+02
 1.0000e+06	 1.1130e+02	 1.6849e+00	 1.7189e-02	 9.5584e-09	-3.8084e-07	 1.3175e-11	 1.1841e+06	 3.4317e+02	 1.1791e+02
 5.0000e+05	 1.1130e+02	 1.6929e+00	 2.1151e-02	 5.8806e-09	-1.9265e-07	 1.3238e-11	 1.9246e+06	 3.4317e+02	 1.2056e+02
 2.5000e+05	 1.1130e+02	 1.6987e+00	 2.6329e-02	 3.6602e-09	-9.7131e-08	 1.3283e-11	 3.0921e+06	 3.4317e+02	 1.2331e+02
 1.2500e+05	 1.1130e+02	 1.7121e+00	 3.0721e-02	 2.1353e-09	-4.9496e-08	 1.3388e-11	 5.3002e+06	 3.4317e+02	 1.2597e+02
 6.2500e+04	 1.1130e+02	 1.7276e+00	 3.3497e-02	 1.1641e-09	-2.5286e-08	 1.3509e-11	 9.7219e+06	 3.4317e+02	 1.2872e+02
 3.1250e+04	 1.1130e+02	 1.7424e+00	 3.3567e-02	 5.8328e-10	-1.2901e-08	 1.3625e-11	 1.9403e+07	 3.4317e+02	 1.3137e+02
 1.5625e+04	 1.1130e+02	 1.7572e+00	 3.3390e-02	 2.9011e-10	-6.5785e-09	 1.3740e-11	 3.9012e+07	 3.4317e+02	 1.3412e+02
 7.8125e+03	 1.1130e+02	 1.7714e+00	 3.3686e-02	 1.4634e-10	-3.3513e-09	 1.3852e-11	 7.7339e+07	 3.4316e+02	 1.3662e+02
 3.9062e+03	 1.1130e+02	 1.7845e+00	 3.5281e-02	 7.6634e-11	-1.7041e-09	 1.3954e-11	 1.4768e+08	 3.4317e+02	 1.3919e+02
 1.9531e+03	 1.1130e+02	 1.7989e+00	 3.9176e-02	 4.2547e-11	-8.6761e-10	 1.4066e-11	 2.6600e+08	 3.4317e+02	 1.4183e+02
 9.7656e+02	 1.1130e+02	 1.8140e+00	 4.6365e-02	 2.5177e-11	-4.4203e-10	 1.4185e-11	 4.4952e+08	 3.4316e+02	 1.4431e+02
 4.8828e+02	 1.1130e+02	 1.8322e+00	 5.8248e-02	 1.5815e-11	-2.2595e-10	 1.4327e-11	 7.1562e+08	 3.4316e+02	 1.4706e+02
 2.4414e+02	 1.1130e+02	 1.8556e+00	 7.6711e-02	 1.0414e-11	-1.1615e-10	 1.4510e-11	 1.0868e+09	 3.4317e+02	 1.4983e+02
 1.2207e+02	 1.1130e+02	 1.8849e+00	 1.0570e-01	 7.1748e-12	-6.0065e-11	 1.4739e-11	 1.5774e+09	 3.4316e+02	 1.5250e+02
 6.1035e+01	 1.1130e+02	 1.9247e+00	 1.4995e-01	 5.0892e-12	-3.1385e-11	 1.5051e-11	 2.2239e+09	 3.4316e+02	 1.5531e+02
 3.0518e+01	 1.1130e+02	 1.9823e+00	 2.1798e-01	 3.6990e-12	-1.6670e-11	 1.5501e-11	 3.0597e+09	 3.4316e+02	 1.5842e+02
 1.5259e+01	 1.1130e+02	 2.0715e+00	 3.2034e-01	 2.7181e-12	-9.0912e-12	 1.6198e-11	 4.1639e+09	 3.4317e+02	 1.6120e+02
 7.6294e+00	 1.1130e+02	 2.2164e+00	 4.6585e-01	 1.9763e-12	-5.1605e-12	 1.7331e-11	 5.7266e+09	 3.4316e+02	 1.6387e+02
 1.9073e+00	 1.1130e+02	 2.8277e+00	 7.9595e-01	 8.4419e-13	-1.9384e-12	 2.2111e-11	 1.3407e+10	 3.4316e+02	 1.6720e+02
 4.7684e-01	 1.1130e+02	 3.7122e+00	 7.0858e-01	 1.8788e-13	-7.1913e-13	 2.9028e-11	 6.0239e+10	 3.4315e+02	 1.7672e+02
 1.0000e-01	 1.1130e+02	 4.0982e+00	 4.2618e-01	 2.3698e-14	-1.7228e-13	 3.2046e-11	 4.7758e+11	 3.4315e+02	 2.2158e+02
 1.0000e+06	 2.1890e+02	 1.6841e+00	 1.6844e-02	 9.3661e-09	-3.8038e-07	 1.3169e-11	 1.2084e+06	 3.4315e+02	 2.2575e+02
 5.0000e+05	 2.1890e+02	 1.6919e+00	 2.0754e-02	 5.7701e-09	-1.9236e-07	 1.3230e-11	 1.9614e+06	 3.4315e+02	 2.2819e+02
 2.5000e+05	 2.1890e+02	 1.6974e+00	 2.5855e-02	 3.5942e-09	-9.6956e-08	 1.3273e-11	 3.1489e+06	 3.4315e+02	 2.3103e+02
 1.2500e+05	 2.1890e+02	 1.7104e+00	 2.9811e-02	 2.0721e-09	-4.9381e-08	 1.3375e-11	 5.4620e+06	 3.4315e+02	 2.3362e+02
 6.2500e+04	 2.1890e+02	 1.7255e+00	 3.2525e-02	 1.1304e-09	-2.5216e-08	 1.3493e-11	 1.0012e+07	 3.4315e+02	 2.3647e+02
 3.1250e+04	 2.1890e+02	 1.7400e+00	 3.2619e-02	 5.6681e-10	-1.2858e-08	 1.3606e-11	 1.9967e+07	 3.4315e+02	 2.3906e+02
 1.5625e+04	 2.1890e+02	 1.7543e+00	 3.2476e-02	 2.8217e-10	-6.5538e-09	 1.3718e-11	 4.0110e+07	 3.4315e+02	 2.4175e+02
 7.8125e+03	 2.1890e+02	 1.7683e+00	 3.2694e-02	 1.4203e-10	-3.3377e-09	 1.3828e-11	 7.9685e+07	 3.4314e+02	 2.4419e+02
 3.9062e+03	 2.1890e+02	 1.7811e+00	 3.4028e-02	 7.3912e-11	-1.6966e-09	 1.3927e-11	 1.5312e+08	 3.4315e+02	 2.4692e+02
 1.9531e+03	 2.1890e+02	 1.7950e+00	 3.7578e-02	 4.0812e-11	-8.6342e-10	 1.4036e-11	 2.7731e+08	 3.4314e+02	 2.4937e+02
 9.7656e+02	 2.1890e+02	 1.8096e+00	 4.4176e-02	 2.3989e-11	-4.3966e-10	 1.4151e-11	 4.7179e+08	 3.4315e+02	 2.5181e+02
