, 13.1.2025, 10:56
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.0000e+06	 0.0000e+00	 1.6683e+00	 1.5752e-02	 8.7589e-09	-3.7160e-07	 1.3045e-11	 1.2921e+06	 2.8978e+02	 1.0250e+01
 5.0000e+05	 0.0000e+00	 1.6757e+00	 1.8873e-02	 5.2472e-09	-1.8787e-07	 1.3104e-11	 2.1569e+06	 2.8977e+02	 1.3010e+01
 2.5000e+05	 0.0000e+00	 1.6810e+00	 2.1330e-02	 2.9652e-09	-9.4666e-08	 1.3145e-11	 3.8168e+06	 2.8976e+02	 1.5680e+01
 1.2500e+05	 0.0000e+00	 1.6911e+00	 2.3747e-02	 1.6506e-09	-4.8037e-08	 1.3224e-11	 6.8567e+06	 2.8977e+02	 1.8370e+01
 6.2500e+04	 0.0000e+00	 1.7026e+00	 2.5976e-02	 9.0277e-10	-2.4417e-08	 1.3314e-11	 1.2537e+07	 2.8977e+02	 2.0970e+01
 3.1250e+04	 0.0000e+00	 1.7137e+00	 2.6701e-02	 4.6398e-10	-1.2402e-08	 1.3401e-11	 2.4392e+07	 2.8976e+02	 2.3590e+01
 1.5625e+04	 0.0000e+00	 1.7259e+00	 2.8180e-02	 2.4484e-10	-6.3066e-09	 1.3496e-11	 4.6225e+07	 2.8976e+02	 2.6250e+01
 7.8125e+03	 0.0000e+00	 1.7418e+00	 2.8507e-02	 1.2384e-10	-3.2224e-09	 1.3620e-11	 9.1390e+07	 2.8976e+02	 2.8970e+01
 3.9062e+03	 0.0000e+00	 1.7540e+00	 2.8211e-02	 6.1277e-11	-1.6378e-09	 1.3716e-11	 1.8470e+08	 2.8976e+02	 3.1530e+01
 1.9531e+03	 0.0000e+00	 1.7661e+00	 2.8622e-02	 3.1085e-11	-8.3206e-10	 1.3810e-11	 3.6409e+08	 2.8975e+02	 3.4260e+01
 9.7656e+02	 0.0000e+00	 1.7779e+00	 2.9824e-02	 1.6195e-11	-4.2243e-10	 1.3903e-11	 6.9883e+08	 2.8975e+02	 3.6810e+01
 4.8828e+02	 0.0000e+00	 1.7905e+00	 3.2107e-02	 8.7176e-12	-2.1463e-10	 1.4001e-11	 1.2983e+09	 2.8975e+02	 3.9530e+01
 2.4414e+02	 0.0000e+00	 1.8046e+00	 3.5983e-02	 4.8849e-12	-1.0922e-10	 1.4111e-11	 2.3168e+09	 2.8975e+02	 4.2260e+01
 1.2207e+02	 0.0000e+00	 1.8193e+00	 4.2167e-02	 2.8622e-12	-5.5614e-11	 1.4226e-11	 3.9541e+09	 2.8974e+02	 4.4840e+01
 6.1035e+01	 0.0000e+00	 1.8359e+00	 5.1938e-02	 1.7627e-12	-2.8369e-11	 1.4356e-11	 6.4205e+09	 2.8974e+02	 4.7560e+01
 3.0518e+01	 0.0000e+00	 1.8563e+00	 6.7036e-02	 1.1376e-12	-1.4531e-11	 1.4516e-11	 9.9490e+09	 2.8973e+02	 5.0560e+01
 1.5259e+01	 0.0000e+00	 1.8826e+00	 8.9824e-02	 7.6215e-13	-7.4888e-12	 1.4721e-11	 1.4850e+10	 2.8974e+02	 5.3430e+01
 7.6294e+00	 0.0000e+00	 1.9180e+00	 1.2539e-01	 5.3195e-13	-3.8944e-12	 1.4998e-11	 2.1276e+10	 2.8973e+02	 5.5870e+01
 1.9073e+00	 0.0000e+00	 2.0375e+00	 2.6072e-01	 2.7652e-13	-1.1003e-12	 1.5932e-11	 4.0929e+10	 2.8973e+02	 5.9200e+01
 4.7684e-01	 0.0000e+00	 2.3534e+00	 4.9959e-01	 1.3247e-13	-3.5886e-13	 1.8403e-11	 8.5438e+10	 2.8972e+02	 7.2870e+01
 1.0000e-01	 0.0000e+00	 3.0595e+00	 6.4333e-01	 3.5773e-14	-1.1452e-13	 2.3924e-11	 3.1638e+11	 2.8965e+02	 1.2476e+02
 1.0000e+06	 1.2200e+02	 1.6701e+00	 1.4978e-02	 8.3285e-09	-3.7264e-07	 1.3060e-11	 1.3589e+06	 2.8964e+02	 1.2862e+02
 5.0000e+05	 1.2200e+02	 1.6769e+00	 1.7751e-02	 4.9354e-09	-1.8820e-07	 1.3113e-11	 2.2932e+06	 2.8963e+02	 1.3131e+02
 2.5000e+05	 1.2200e+02	 1.6808e+00	 2.1270e-02	 2.9569e-09	-9.4646e-08	 1.3143e-11	 3.8275e+06	 2.8963e+02	 1.3387e+02
 1.2500e+05	 1.2200e+02	 1.6911e+00	 2.4237e-02	 1.6846e-09	-4.8035e-08	 1.3224e-11	 6.7181e+06	 2.8962e+02	 1.3662e+02
 6.2500e+04	 1.2200e+02	 1.7029e+00	 2.7065e-02	 9.4060e-10	-2.4429e-08	 1.3316e-11	 1.2032e+07	 2.8962e+02	 1.3925e+02
 3.1250e+04	 1.2200e+02	 1.7150e+00	 2.8141e-02	 4.8901e-10	-1.2424e-08	 1.3410e-11	 2.3144e+07	 2.8962e+02	 1.4193e+02
 1.5625e+04	 1.2200e+02	 1.7281e+00	 2.8812e-02	 2.5033e-10	-6.3262e-09	 1.3513e-11	 4.5211e+07	 2.8961e+02	 1.4447e+02
 7.8125e+03	 1.2200e+02	 1.7415e+00	 2.8620e-02	 1.2433e-10	-3.2213e-09	 1.3618e-11	 9.1027e+07	 2.8961e+02	 1.4718e+02
