, 18.12.2024, 15:18
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.0000e+06	 0.0000e+00	 2.5701e+00	 2.6445e-01	 1.4705e-07	-8.7309e-07	 2.0097e-11	 7.6964e+04	 3.5864e+02	 1.0310e+01
 5.0000e+05	 0.0000e+00	 2.6779e+00	 3.9808e-01	 1.1068e-07	-4.6650e-07	 2.0940e-11	 1.0226e+05	 3.5854e+02	 1.2810e+01
 2.5000e+05	 0.0000e+00	 2.8704e+00	 5.7766e-01	 8.0303e-08	-2.6001e-07	 2.2445e-11	 1.4094e+05	 3.5847e+02	 1.5390e+01
 1.2500e+05	 0.0000e+00	 3.1733e+00	 7.6419e-01	 5.3117e-08	-1.5106e-07	 2.4814e-11	 2.1307e+05	 3.5834e+02	 1.8190e+01
 6.2500e+04	 0.0000e+00	 3.5700e+00	 9.1781e-01	 3.1898e-08	-8.9319e-08	 2.7916e-11	 3.5481e+05	 3.5828e+02	 2.0630e+01
 3.1250e+04	 0.0000e+00	 4.0219e+00	 1.0287e+00	 1.7875e-08	-5.2512e-08	 3.1450e-11	 6.3316e+05	 3.5816e+02	 2.3310e+01
 1.5625e+04	 0.0000e+00	 4.5154e+00	 1.1118e+00	 9.6601e-09	-3.0544e-08	 3.5309e-11	 1.1716e+06	 3.5809e+02	 2.5750e+01
 7.8125e+03	 0.0000e+00	 4.9897e+00	 1.1830e+00	 5.1391e-09	-1.7332e-08	 3.9017e-11	 2.2022e+06	 3.5800e+02	 2.8250e+01
 3.9062e+03	 0.0000e+00	 5.4125e+00	 1.3207e+00	 2.8686e-09	-9.5845e-09	 4.2324e-11	 3.9453e+06	 3.5781e+02	 3.3440e+01
 1.9531e+03	 0.0000e+00	 5.8173e+00	 1.6819e+00	 1.8267e-09	-5.2319e-09	 4.5489e-11	 6.1958e+06	 3.5767e+02	 3.6060e+01
 9.7656e+02	 0.0000e+00	 6.3079e+00	 2.4509e+00	 1.3309e-09	-2.8824e-09	 4.9326e-11	 8.5036e+06	 3.5759e+02	 3.8560e+01
 4.8828e+02	 0.0000e+00	 7.0365e+00	 3.8566e+00	 1.0471e-09	-1.6390e-09	 5.5022e-11	 1.0808e+07	 3.5752e+02	 4.1130e+01
 2.4414e+02	 0.0000e+00	 8.2067e+00	 6.2308e+00	 8.4588e-10	-9.7836e-10	 6.4173e-11	 1.3380e+07	 3.5738e+02	 4.3910e+01
 1.2207e+02	 0.0000e+00	 1.0034e+01	 1.0198e+01	 6.9222e-10	-6.1325e-10	 7.8466e-11	 1.6350e+07	 3.5730e+02	 4.6380e+01
 6.1035e+01	 0.0000e+00	 1.2825e+01	 1.6888e+01	 5.7317e-10	-4.0133e-10	 1.0029e-10	 1.9746e+07	 3.5718e+02	 4.9380e+01
 3.0518e+01	 0.0000e+00	 1.7077e+01	 2.8410e+01	 4.8211e-10	-2.7283e-10	 1.3354e-10	 2.3475e+07	 3.5706e+02	 5.2380e+01
 1.5259e+01	 0.0000e+00	 2.3608e+01	 4.8317e+01	 4.0996e-10	-1.9182e-10	 1.8460e-10	 2.7607e+07	 3.5698e+02	 5.5080e+01
 7.6294e+00	 0.0000e+00	 3.3580e+01	 8.2325e+01	 3.4925e-10	-1.3822e-10	 2.6259e-10	 3.2405e+07	 3.5685e+02	 5.7710e+01
 1.9073e+00	 0.0000e+00	 7.1771e+01	 2.4940e+02	 2.6452e-10	-7.5060e-11	 5.6122e-10	 4.2786e+07	 3.5673e+02	 6.1020e+01
 4.7684e-01	 0.0000e+00	 1.5654e+02	 7.8108e+02	 2.0710e-10	-4.1242e-11	 1.2241e-09	 5.4647e+07	 3.5648e+02	 6.7860e+01
 1.0000e-01	 0.0000e+00	 3.4299e+02	 2.9424e+03	 1.6361e-10	-1.9017e-11	 2.6821e-09	 6.9173e+07	 3.5532e+02	 9.8240e+01
 1.0000e+06	 9.5500e+01	 2.5474e+00	 2.3600e-01	 1.3123e-07	-8.6047e-07	 1.9920e-11	 8.6242e+04	 3.5508e+02	 1.0500e+02
 5.0000e+05	 9.5500e+01	 2.6399e+00	 3.5451e-01	 9.8565e-08	-4.5595e-07	 2.0643e-11	 1.1483e+05	 3.5498e+02	 1.0785e+02
 2.5000e+05	 9.5500e+01	 2.8049e+00	 5.2243e-01	 7.2625e-08	-2.5091e-07	 2.1933e-11	 1.5584e+05	 3.5491e+02	 1.1044e+02
 1.2500e+05	 9.5500e+01	 3.0766e+00	 7.0866e-01	 4.9258e-08	-1.4434e-07	 2.4058e-11	 2.2976e+05	 3.5479e+02	 1.1310e+02
 6.2500e+04	 9.5500e+01	 3.4488e+00	 8.6958e-01	 3.0221e-08	-8.5107e-08	 2.6969e-11	 3.7449e+05	 3.5472e+02	 1.1556e+02
 3.1250e+04	 9.5500e+01	 3.8850e+00	 9.8435e-01	 1.7105e-08	-5.0133e-08	 3.0379e-11	 6.6166e+05	 3.5461e+02	 1.1838e+02
 1.5625e+04	 9.5500e+01	 4.3640e+00	 1.0640e+00	 9.2447e-09	-2.9228e-08	 3.4125e-11	 1.2242e+06	 3.5454e+02	 1.2094e+02
 7.8125e+03	 9.5500e+01	 4.8290e+00	 1.1255e+00	 4.8895e-09	-1.6634e-08	 3.7761e-11	 2.3147e+06	 3.5442e+02	 1.2361e+02
 3.9062e+03	 9.5500e+01	 5.2552e+00	 1.2266e+00	 2.6642e-09	-9.2427e-09	 4.1094e-11	 4.2480e+06	 3.5428e+02	 1.2877e+02
 1.9531e+03	 9.5500e+01	 5.6585e+00	 1.4906e+00	 1.6189e-09	-5.0594e-09	 4.4247e-11	 6.9911e+06	 3.5415e+02	 1.3138e+02
 9.7656e+02	 9.5500e+01	 6.1268e+00	 2.0712e+00	 1.1247e-09	-2.7840e-09	 4.7909e-11	 1.0063e+07	 3.5409e+02	 1.3381e+02
 4.8828e+02	 9.5500e+01	 6.8055e+00	 3.1296e+00	 8.4973e-10	-1.5763e-09	 5.3217e-11	 1.3319e+07	 3.5398e+02	 1.3656e+02
 2.4414e+02	 9.5500e+01	 7.8561e+00	 4.8833e+00	 6.6295e-10	-9.3076e-10	 6.1431e-11	 1.7072e+07	 3.5392e+02	 1.3927e+02
 1.2207e+02	 9.5500e+01	 9.4429e+00	 7.7371e+00	 5.2518e-10	-5.7309e-10	 7.3840e-11	 2.1550e+07	 3.5379e+02	 1.4175e+02
