, 19.12.2024, 13:26
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.0000e+06	 0.0000e+00	 2.4905e+00	 1.6284e-01	 9.0548e-08	-8.2882e-07	 1.9475e-11	 1.2499e+05	 3.2314e+02	 1.0190e+01
 5.0000e+05	 0.0000e+00	 2.5575e+00	 2.2186e-01	 6.1683e-08	-4.3305e-07	 1.9999e-11	 1.8348e+05	 3.2315e+02	 1.2690e+01
 2.5000e+05	 0.0000e+00	 2.6539e+00	 3.0660e-01	 4.2622e-08	-2.2991e-07	 2.0752e-11	 2.6554e+05	 3.2315e+02	 1.5440e+01
 1.2500e+05	 0.0000e+00	 2.7973e+00	 4.1519e-01	 2.8859e-08	-1.2493e-07	 2.1874e-11	 3.9217e+05	 3.2314e+02	 1.8180e+01
 6.2500e+04	 0.0000e+00	 2.9999e+00	 5.4095e-01	 1.8800e-08	-6.9504e-08	 2.3458e-11	 6.0201e+05	 3.2315e+02	 2.0630e+01
 3.1250e+04	 0.0000e+00	 3.2673e+00	 6.7317e-01	 1.1698e-08	-3.9398e-08	 2.5549e-11	 9.6752e+05	 3.2314e+02	 2.3470e+01
 1.5625e+04	 0.0000e+00	 3.6012e+00	 8.0079e-01	 6.9577e-09	-2.2601e-08	 2.8160e-11	 1.6266e+06	 3.2315e+02	 2.5940e+01
 7.8125e+03	 0.0000e+00	 3.9969e+00	 9.1252e-01	 3.9642e-09	-1.3019e-08	 3.1254e-11	 2.8550e+06	 3.2315e+02	 2.8500e+01
 3.9062e+03	 0.0000e+00	 4.4571e+00	 9.9832e-01	 2.1685e-09	-7.5092e-09	 3.4853e-11	 5.2192e+06	 3.2315e+02	 3.3990e+01
 1.9531e+03	 0.0000e+00	 4.9181e+00	 1.0463e+00	 1.1363e-09	-4.2552e-09	 3.8457e-11	 9.9601e+06	 3.2315e+02	 3.6440e+01
 9.7656e+02	 0.0000e+00	 5.3520e+00	 1.1036e+00	 5.9931e-10	-2.3633e-09	 4.1851e-11	 1.8885e+07	 3.2315e+02	 3.8940e+01
 4.8828e+02	 0.0000e+00	 5.7759e+00	 1.2580e+00	 3.4157e-10	-1.2967e-09	 4.5166e-11	 3.3135e+07	 3.2315e+02	 4.1630e+01
 2.4414e+02	 0.0000e+00	 6.2770e+00	 1.5768e+00	 2.1407e-10	-7.1639e-10	 4.9084e-11	 5.2870e+07	 3.2316e+02	 4.4330e+01
 1.2207e+02	 0.0000e+00	 6.9566e+00	 2.0668e+00	 1.4029e-10	-4.0432e-10	 5.4398e-11	 8.0675e+07	 3.2315e+02	 4.6880e+01
 6.1035e+01	 0.0000e+00	 7.8504e+00	 2.7208e+00	 9.2343e-11	-2.3250e-10	 6.1387e-11	 1.2256e+08	 3.2315e+02	 4.9440e+01
 3.0518e+01	 0.0000e+00	 8.9441e+00	 3.6443e+00	 6.1842e-11	-1.3481e-10	 6.9940e-11	 1.8301e+08	 3.2315e+02	 5.2570e+01
 1.5259e+01	 0.0000e+00	 1.0238e+01	 5.1113e+00	 4.3369e-11	-7.8383e-11	 8.0058e-11	 2.6096e+08	 3.2315e+02	 5.5350e+01
 7.6294e+00	 0.0000e+00	 1.1841e+01	 7.6262e+00	 3.2353e-11	-4.5990e-11	 9.2588e-11	 3.4982e+08	 3.2315e+02	 5.7900e+01
 1.9073e+00	 0.0000e+00	 1.6923e+01	 2.0098e+01	 2.1316e-11	-1.6888e-11	 1.3233e-10	 5.3096e+08	 3.2315e+02	 6.1210e+01
 4.7684e-01	 0.0000e+00	 2.8775e+01	 6.0706e+01	 1.6096e-11	-7.3644e-12	 2.2501e-10	 7.0313e+08	 3.2315e+02	 7.2500e+01
 1.0000e-01	 0.0000e+00	 6.6194e+01	 2.2641e+02	 1.2590e-11	-3.6252e-12	 5.1761e-10	 8.9894e+08	 3.2315e+02	 1.1308e+02
 1.0000e+06	 1.1040e+02	 2.4982e+00	 1.6829e-01	 9.3578e-08	-8.3312e-07	 1.9535e-11	 1.2094e+05	 3.2315e+02	 1.2021e+02
 5.0000e+05	 1.1040e+02	 2.5677e+00	 2.2951e-01	 6.3811e-08	-4.3588e-07	 2.0079e-11	 1.7736e+05	 3.2315e+02	 1.2269e+02
 2.5000e+05	 1.1040e+02	 2.6683e+00	 3.1676e-01	 4.4034e-08	-2.3191e-07	 2.0865e-11	 2.5702e+05	 3.2314e+02	 1.2549e+02
 1.2500e+05	 1.1040e+02	 2.8174e+00	 4.2756e-01	 2.9719e-08	-1.2632e-07	 2.2031e-11	 3.8083e+05	 3.2314e+02	 1.2794e+02
 6.2500e+04	 1.1040e+02	 3.0261e+00	 5.5439e-01	 1.9267e-08	-7.0416e-08	 2.3663e-11	 5.8741e+05	 3.2315e+02	 1.3044e+02
