, 19.12.2024, 18:41
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.0000e+06	 0.0000e+00	 2.4710e+00	 1.5913e-01	 8.8484e-08	-8.1794e-07	 1.9322e-11	 1.2791e+05	 3.2316e+02	 1.0190e+01
 5.0000e+05	 0.0000e+00	 2.5393e+00	 2.1272e-01	 5.9142e-08	-4.2799e-07	 1.9857e-11	 1.9136e+05	 3.2316e+02	 1.3000e+01
 2.5000e+05	 0.0000e+00	 2.6343e+00	 2.8392e-01	 3.9470e-08	-2.2720e-07	 2.0600e-11	 2.8674e+05	 3.2317e+02	 1.5630e+01
 1.2500e+05	 0.0000e+00	 2.7673e+00	 3.6940e-01	 2.5676e-08	-1.2284e-07	 2.1639e-11	 4.4078e+05	 3.2316e+02	 1.8380e+01
 6.2500e+04	 0.0000e+00	 2.9439e+00	 4.6601e-01	 1.6196e-08	-6.7557e-08	 2.3020e-11	 6.9881e+05	 3.2316e+02	 2.0810e+01
 3.1250e+04	 0.0000e+00	 3.1669e+00	 5.7039e-01	 9.9116e-09	-3.7655e-08	 2.4764e-11	 1.1419e+06	 3.2316e+02	 2.3500e+01
 1.5625e+04	 0.0000e+00	 3.4420e+00	 6.7937e-01	 5.9027e-09	-2.1218e-08	 2.6915e-11	 1.9174e+06	 3.2316e+02	 2.6000e+01
 7.8125e+03	 0.0000e+00	 3.7757e+00	 7.8300e-01	 3.4015e-09	-1.2058e-08	 2.9525e-11	 3.3272e+06	 3.2316e+02	 2.8640e+01
 3.9062e+03	 0.0000e+00	 4.1607e+00	 8.5916e-01	 1.8662e-09	-6.8654e-09	 3.2535e-11	 6.0646e+06	 3.2316e+02	 3.1440e+01
 1.9531e+03	 0.0000e+00	 4.5789e+00	 8.9997e-01	 9.7742e-10	-3.8869e-09	 3.5805e-11	 1.1579e+07	 3.2316e+02	 3.4170e+01
 9.7656e+02	 0.0000e+00	 4.9643e+00	 9.2757e-01	 5.0370e-10	-2.1527e-09	 3.8819e-11	 2.2469e+07	 3.2317e+02	 3.6750e+01
 4.8828e+02	 0.0000e+00	 5.3299e+00	 9.9987e-01	 2.7148e-10	-1.1756e-09	 4.1677e-11	 4.1689e+07	 3.2317e+02	 3.9460e+01
 2.4414e+02	 0.0000e+00	 5.7036e+00	 1.1724e+00	 1.5916e-10	-6.3855e-10	 4.4600e-11	 7.1111e+07	 3.2316e+02	 4.4740e+01
 1.2207e+02	 0.0000e+00	 6.1415e+00	 1.5007e+00	 1.0187e-10	-3.4900e-10	 4.8024e-11	 1.1110e+08	 3.2316e+02	 4.7190e+01
 6.1035e+01	 0.0000e+00	 6.6974e+00	 2.0538e+00	 6.9704e-11	-1.9337e-10	 5.2371e-11	 1.6237e+08	 3.2316e+02	 4.9750e+01
 3.0518e+01	 0.0000e+00	 7.4218e+00	 2.9557e+00	 5.0157e-11	-1.0898e-10	 5.8036e-11	 2.2565e+08	 3.2317e+02	 5.2750e+01
 1.5259e+01	 0.0000e+00	 8.3942e+00	 4.4580e+00	 3.7825e-11	-6.2738e-11	 6.5639e-11	 2.9921e+08	 3.2316e+02	 5.5710e+01
 7.6294e+00	 0.0000e+00	 9.7433e+00	 7.0290e+00	 2.9820e-11	-3.7093e-11	 7.6189e-11	 3.7953e+08	 3.2316e+02	 5.8210e+01
 1.9073e+00	 0.0000e+00	 1.4844e+01	 1.9540e+01	 2.0724e-11	-1.4683e-11	 1.1608e-10	 5.4612e+08	 3.2316e+02	 6.1520e+01
 4.7684e-01	 0.0000e+00	 2.7946e+01	 5.8541e+01	 1.5522e-11	-7.1447e-12	 2.1853e-10	 7.2913e+08	 3.2316e+02	 7.2810e+01
 1.0000e-01	 0.0000e+00	 6.8346e+01	 2.0852e+02	 1.1595e-11	-3.7448e-12	 5.3444e-10	 9.7606e+08	 3.2315e+02	 1.1346e+02
