, 19.12.2024, 18:44
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.0000e+06	 0.0000e+00	 2.4585e+00	 1.5151e-01	 8.4247e-08	-8.1103e-07	 1.9225e-11	 1.3434e+05	 3.2315e+02	 1.0840e+01
 5.0000e+05	 0.0000e+00	 2.5233e+00	 2.0233e-01	 5.6253e-08	-4.2352e-07	 1.9731e-11	 2.0119e+05	 3.2314e+02	 1.3310e+01
 2.5000e+05	 0.0000e+00	 2.6132e+00	 2.7065e-01	 3.7624e-08	-2.2425e-07	 2.0434e-11	 3.0081e+05	 3.2314e+02	 1.5950e+01
 1.2500e+05	 0.0000e+00	 2.7398e+00	 3.5367e-01	 2.4583e-08	-1.2093e-07	 2.1425e-11	 4.6038e+05	 3.2314e+02	 1.8620e+01
 6.2500e+04	 0.0000e+00	 2.9091e+00	 4.4806e-01	 1.5572e-08	-6.6347e-08	 2.2748e-11	 7.2681e+05	 3.2315e+02	 2.1060e+01
 3.1250e+04	 0.0000e+00	 3.1240e+00	 5.5012e-01	 9.5595e-09	-3.6909e-08	 2.4429e-11	 1.1839e+06	 3.2315e+02	 2.3690e+01
 1.5625e+04	 0.0000e+00	 3.3900e+00	 6.5657e-01	 5.7046e-09	-2.0765e-08	 2.6508e-11	 1.9840e+06	 3.2314e+02	 2.6190e+01
 7.8125e+03	 0.0000e+00	 3.7124e+00	 7.5849e-01	 3.2950e-09	-1.1783e-08	 2.9030e-11	 3.4348e+06	 3.2315e+02	 2.8920e+01
 3.9062e+03	 0.0000e+00	 4.0870e+00	 8.3522e-01	 1.8142e-09	-6.7054e-09	 3.1959e-11	 6.2384e+06	 3.2315e+02	 3.1500e+01
 1.9531e+03	 0.0000e+00	 4.4977e+00	 8.7529e-01	 9.5062e-10	-3.7987e-09	 3.5170e-11	 1.1906e+07	 3.2315e+02	 3.4280e+01
 9.7656e+02	 0.0000e+00	 4.8773e+00	 8.9611e-01	 4.8661e-10	-2.1055e-09	 3.8139e-11	 2.3258e+07	 3.2315e+02	 3.6750e+01
 4.8828e+02	 0.0000e+00	 5.2341e+00	 9.5305e-01	 2.5877e-10	-1.1496e-09	 4.0928e-11	 4.3737e+07	 3.2315e+02	 3.9190e+01
 2.4414e+02	 0.0000e+00	 5.5943e+00	 1.0998e+00	 1.4931e-10	-6.2372e-10	 4.3746e-11	 7.5800e+07	 3.2315e+02	 4.4390e+01
 1.2207e+02	 0.0000e+00	 6.0104e+00	 1.3864e+00	 9.4107e-11	-3.4010e-10	 4.6999e-11	 1.2026e+08	 3.2315e+02	 4.7120e+01
 6.1035e+01	 0.0000e+00	 6.5337e+00	 1.8674e+00	 6.3377e-11	-1.8781e-10	 5.1091e-11	 1.7858e+08	 3.2316e+02	 4.9700e+01
 3.0518e+01	 0.0000e+00	 7.2064e+00	 2.6488e+00	 4.4950e-11	-1.0532e-10	 5.6351e-11	 2.5179e+08	 3.2316e+02	 5.2830e+01
 1.5259e+01	 0.0000e+00	 8.0952e+00	 3.9436e+00	 3.3461e-11	-6.0202e-11	 6.3301e-11	 3.3824e+08	 3.2316e+02	 5.5770e+01
 7.6294e+00	 0.0000e+00	 9.3093e+00	 6.1557e+00	 2.6115e-11	-3.5251e-11	 7.2795e-11	 4.3338e+08	 3.2316e+02	 5.8200e+01
 1.9073e+00	 0.0000e+00	 1.3787e+01	 1.6964e+01	 1.7992e-11	-1.3562e-11	 1.0781e-10	 6.2903e+08	 3.2316e+02	 6.1500e+01
 4.7684e-01	 0.0000e+00	 2.5226e+01	 5.0688e+01	 1.3440e-11	-6.4235e-12	 1.9726e-10	 8.4208e+08	 3.2316e+02	 7.2870e+01
 1.0000e-01	 0.0000e+00	 5.9714e+01	 1.8037e+02	 1.0030e-11	-3.2649e-12	 4.6694e-10	 1.1284e+09	 3.2316e+02	 1.1352e+02
 1.0000e+06	 1.1070e+02	 2.4535e+00	 1.4827e-01	 8.2446e-08	-8.0825e-07	 1.9186e-11	 1.3727e+05	 3.2316e+02	 1.2062e+02
 5.0000e+05	 1.1070e+02	 2.5167e+00	 1.9793e-01	 5.5031e-08	-4.2170e-07	 1.9680e-11	 2.0566e+05	 3.2316e+02	 1.2306e+02
 2.5000e+05	 1.1070e+02	 2.6045e+00	 2.6499e-01	 3.6838e-08	-2.2305e-07	 2.0366e-11	 3.0723e+05	 3.2316e+02	 1.2575e+02
 1.2500e+05	 1.1070e+02	 2.7285e+00	 3.4671e-01	 2.4099e-08	-1.2015e-07	 2.1336e-11	 4.6963e+05	 3.2316e+02	 1.2819e+02
 6.2500e+04	 1.1070e+02	 2.8945e+00	 4.4000e-01	 1.5292e-08	-6.5840e-08	 2.2634e-11	 7.4012e+05	 3.2316e+02	 1.3070e+02
 3.1250e+04	 1.1070e+02	 3.1059e+00	 5.4092e-01	 9.3995e-09	-3.6594e-08	 2.4287e-11	 1.2041e+06	 3.2316e+02	 1.3344e+02
 1.5625e+04	 1.1070e+02	 3.3675e+00	 6.4589e-01	 5.6118e-09	-2.0570e-08	 2.6332e-11	 2.0168e+06	 3.2316e+02	 1.3587e+02
 7.8125e+03	 1.1070e+02	 3.6846e+00	 7.4678e-01	 3.2442e-09	-1.1662e-08	 2.8812e-11	 3.4886e+06	 3.2315e+02	 1.3844e+02
