, 20.12.2024, 14:57
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.0000e+06	 0.0000e+00	 2.3082e+00	 6.6380e-02	 3.6911e-08	-7.2743e-07	 1.8049e-11	 3.0662e+05	 3.0315e+02	 1.0320e+01
 5.0000e+05	 0.0000e+00	 2.3373e+00	 7.9629e-02	 2.2139e-08	-3.7181e-07	 1.8277e-11	 5.1120e+05	 3.0315e+02	 1.3000e+01
 2.5000e+05	 0.0000e+00	 2.3690e+00	 9.8566e-02	 1.3702e-08	-1.9031e-07	 1.8525e-11	 8.2597e+05	 3.0315e+02	 1.5690e+01
 1.2500e+05	 0.0000e+00	 2.4103e+00	 1.2637e-01	 8.7840e-09	-9.8025e-08	 1.8847e-11	 1.2884e+06	 3.0315e+02	 1.8240e+01
 6.2500e+04	 0.0000e+00	 2.4646e+00	 1.6757e-01	 5.8237e-09	-5.0900e-08	 1.9272e-11	 1.9434e+06	 3.0315e+02	 2.0690e+01
 3.1250e+04	 0.0000e+00	 2.5401e+00	 2.2424e-01	 3.8966e-09	-2.6762e-08	 1.9862e-11	 2.9045e+06	 3.0315e+02	 2.3540e+01
 1.5625e+04	 0.0000e+00	 2.6460e+00	 2.9613e-01	 2.5730e-09	-1.4301e-08	 2.0691e-11	 4.3987e+06	 3.0316e+02	 2.6000e+01
 7.8125e+03	 0.0000e+00	 2.7907e+00	 3.7858e-01	 1.6447e-09	-7.7794e-09	 2.1823e-11	 6.8815e+06	 3.0315e+02	 2.8440e+01
 3.9062e+03	 0.0000e+00	 2.9785e+00	 4.6506e-01	 1.0102e-09	-4.2975e-09	 2.3290e-11	 1.1204e+07	 3.0315e+02	 3.1130e+01
 1.9531e+03	 0.0000e+00	 3.2091e+00	 5.4800e-01	 5.9516e-10	-2.3993e-09	 2.5094e-11	 1.9016e+07	 3.0316e+02	 3.3570e+01
 9.7656e+02	 0.0000e+00	 3.4791e+00	 6.2056e-01	 3.3698e-10	-1.3462e-09	 2.7205e-11	 3.3585e+07	 3.0315e+02	 3.6000e+01
 4.8828e+02	 0.0000e+00	 3.7817e+00	 6.7750e-01	 1.8395e-10	-7.5526e-10	 2.9571e-11	 6.1525e+07	 3.0315e+02	 3.8500e+01
 2.4414e+02	 0.0000e+00	 4.1076e+00	 7.1355e-01	 9.6869e-11	-4.2189e-10	 3.2120e-11	 1.1683e+08	 3.0315e+02	 4.1550e+01
 1.2207e+02	 0.0000e+00	 4.4552e+00	 7.2929e-01	 4.9503e-11	-2.3453e-10	 3.4838e-11	 2.2863e+08	 3.0315e+02	 4.4000e+01
 6.1035e+01	 0.0000e+00	 4.7796e+00	 7.2962e-01	 2.4763e-11	-1.2828e-10	 3.7375e-11	 4.5704e+08	 3.0315e+02	 4.6630e+01
 3.0518e+01	 0.0000e+00	 5.0883e+00	 7.4388e-01	 1.2623e-11	-6.9377e-11	 3.9789e-11	 8.9657e+08	 3.0317e+02	 5.2820e+01
 1.5259e+01	 0.0000e+00	 5.3880e+00	 8.0400e-01	 6.8218e-12	-3.7231e-11	 4.2132e-11	 1.6590e+09	 3.0315e+02	 5.5580e+01
 7.6294e+00	 0.0000e+00	 5.7152e+00	 9.3617e-01	 3.9716e-12	-2.0004e-11	 4.4691e-11	 2.8496e+09	 3.0316e+02	 5.8020e+01
 1.9073e+00	 0.0000e+00	 6.5764e+00	 1.4633e+00	 1.5519e-12	-5.9144e-12	 5.1425e-11	 7.2926e+09	 3.0316e+02	 6.1330e+01
 4.7684e-01	 0.0000e+00	 7.7759e+00	 2.7573e+00	 7.3109e-13	-1.7966e-12	 6.0805e-11	 1.5480e+10	 3.0316e+02	 7.1190e+01
 1.0000e-01	 0.0000e+00	 1.0032e+01	 7.9270e+00	 4.4079e-13	-5.0226e-13	 7.8450e-11	 2.5676e+10	 3.0315e+02	 1.1644e+02
 1.0000e+06	 1.1370e+02	 2.3225e+00	 7.2240e-02	 4.0170e-08	-7.3537e-07	 1.8161e-11	 2.8174e+05	 3.0315e+02	 1.2238e+02
 5.0000e+05	 1.1370e+02	 2.3541e+00	 8.7831e-02	 2.4420e-08	-3.7648e-07	 1.8408e-11	 4.6346e+05	 3.0315e+02	 1.2482e+02
 2.5000e+05	 1.1370e+02	 2.3891e+00	 1.1036e-01	 1.5342e-08	-1.9311e-07	 1.8682e-11	 7.3769e+05	 3.0315e+02	 1.2763e+02
 1.2500e+05	 1.1370e+02	 2.4359e+00	 1.4230e-01	 9.8909e-09	-9.9804e-08	 1.9048e-11	 1.1443e+06	 3.0315e+02	 1.3013e+02
 6.2500e+04	 1.1370e+02	 2.4985e+00	 1.8785e-01	 6.5287e-09	-5.2077e-08	 1.9537e-11	 1.7335e+06	 3.0315e+02	 1.3279e+02
 3.1250e+04	 1.1370e+02	 2.5847e+00	 2.4809e-01	 4.3111e-09	-2.7537e-08	 2.0211e-11	 2.6253e+06	 3.0315e+02	 1.3538e+02
 1.5625e+04	 1.1370e+02	 2.7031e+00	 3.2149e-01	 2.7932e-09	-1.4797e-08	 2.1137e-11	 4.0518e+06	 3.0315e+02	 1.3783e+02
 7.8125e+03	 1.1370e+02	 2.8604e+00	 4.0293e-01	 1.7504e-09	-8.0819e-09	 2.2367e-11	 6.4657e+06	 3.0315e+02	 1.4025e+02
 3.9062e+03	 1.1370e+02	 3.0591e+00	 4.8597e-01	 1.0556e-09	-4.4725e-09	 2.3921e-11	 1.0722e+07	 3.0315e+02	 1.4282e+02
 1.9531e+03	 1.1370e+02	 3.2982e+00	 5.6414e-01	 6.1269e-10	-2.4959e-09	 2.5790e-11	 1.8472e+07	 3.0315e+02	 1.4554e+02
 9.7656e+02	 1.1370e+02	 3.5738e+00	 6.3202e-01	 3.4320e-10	-1.3976e-09	 2.7946e-11	 3.2977e+07	 3.0314e+02	 1.4800e+02
 4.8828e+02	 1.1370e+02	 3.8789e+00	 6.8525e-01	 1.8605e-10	-7.8166e-10	 3.0332e-11	 6.0830e+07	 3.0314e+02	 1.5044e+02
 2.4414e+02	 1.1370e+02	 4.2053e+00	 7.2020e-01	 9.7772e-11	-4.3514e-10	 3.2883e-11	 1.1576e+08	 3.0314e+02	 1.5325e+02
 1.2207e+02	 1.1370e+02	 4.5525e+00	 7.3932e-01	 5.0184e-11	-2.4114e-10	 3.5599e-11	 2.2552e+08	 3.0314e+02	 1.5604e+02
 6.1035e+01	 1.1370e+02	 4.8778e+00	 7.4900e-01	 2.5420e-11	-1.3161e-10	 3.8143e-11	 4.4522e+08	 3.0315e+02	 1.5863e+02
 3.0518e+01	 1.1370e+02	 5.1932e+00	 7.8073e-01	 1.3249e-11	-7.1157e-11	 4.0609e-11	 8.5425e+08	 3.0315e+02	 1.6465e+02
 1.5259e+01	 1.1370e+02	 5.5106e+00	 8.6400e-01	 7.3309e-12	-3.8272e-11	 4.3091e-11	 1.5438e+09	 3.0314e+02	 1.6746e+02
 7.6294e+00	 1.1370e+02	 5.8652e+00	 1.0202e+00	 4.3281e-12	-2.0640e-11	 4.5864e-11	 2.6149e+09	 3.0315e+02	 1.7002e+02
 1.9073e+00	 1.1370e+02	 6.7926e+00	 1.6281e+00	 1.7268e-12	-6.1437e-12	 5.3116e-11	 6.5542e+09	 3.0314e+02	 1.7333e+02
 4.7684e-01	 1.1370e+02	 8.0970e+00	 3.2191e+00	 8.5354e-13	-1.8818e-12	 6.3315e-11	 1.3260e+10	 3.0314e+02	 1.8288e+02
 1.0000e-01	 1.1370e+02	 1.0969e+01	 1.0458e+01	 5.8152e-13	-5.5433e-13	 8.5772e-11	 1.9462e+10	 3.0314e+02	 2.5840e+02
 1.0000e+06	 2.5570e+02	 2.3376e+00	 7.8931e-02	 4.3890e-08	-7.4377e-07	 1.8279e-11	 2.5786e+05	 3.0314e+02	 2.6419e+02
 5.0000e+05	 2.5570e+02	 2.3720e+00	 9.7255e-02	 2.7040e-08	-3.8147e-07	 1.8548e-11	 4.1856e+05	 3.0313e+02	 2.6707e+02
 2.5000e+05	 2.5570e+02	 2.4113e+00	 1.2307e-01	 1.7109e-08	-1.9619e-07	 1.8855e-11	 6.6151e+05	 3.0314e+02	 2.6975e+02
 1.2500e+05	 2.5570e+02	 2.4644e+00	 1.5960e-01	 1.1094e-08	-1.0179e-07	 1.9270e-11	 1.0202e+06	 3.0314e+02	 2.7250e+02
 6.2500e+04	 2.5570e+02	 2.5358e+00	 2.0960e-01	 7.2845e-09	-5.3374e-08	 1.9829e-11	 1.5537e+06	 3.0314e+02	 2.7494e+02
 3.1250e+04	 2.5570e+02	 2.6335e+00	 2.7338e-01	 4.7505e-09	-2.8384e-08	 2.0593e-11	 2.3824e+06	 3.0314e+02	 2.7775e+02
 1.5625e+04	 2.5570e+02	 2.7647e+00	 3.4835e-01	 3.0266e-09	-1.5333e-08	 2.1619e-11	 3.7394e+06	 3.0314e+02	 2.8019e+02
 7.8125e+03	 2.5570e+02	 2.9352e+00	 4.2897e-01	 1.8636e-09	-8.4069e-09	 2.2952e-11	 6.0732e+06	 3.0313e+02	 2.8300e+02
 3.9062e+03	 2.5570e+02	 3.1459e+00	 5.0944e-01	 1.1066e-09	-4.6612e-09	 2.4600e-11	 1.0228e+07	 3.0314e+02	 2.8544e+02
 1.9531e+03	 2.5570e+02	 3.3947e+00	 5.8399e-01	 6.3424e-10	-2.6008e-09	 2.6546e-11	 1.7844e+07	 3.0314e+02	 2.8802e+02
