, 20.12.2024, 17:18
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.0000e+06	 0.0000e+00	 2.5924e+00	 2.0562e-01	 1.1434e-07	-8.8545e-07	 2.0271e-11	 9.8987e+04	 3.0315e+02	 1.2900e+01
 5.0000e+05	 0.0000e+00	 2.6806e+00	 2.6866e-01	 7.4694e-08	-4.6725e-07	 2.0961e-11	 1.5152e+05	 3.0315e+02	 1.5320e+01
 2.5000e+05	 0.0000e+00	 2.8014e+00	 3.5407e-01	 4.9221e-08	-2.5042e-07	 2.1906e-11	 2.2994e+05	 3.0315e+02	 1.7900e+01
 1.2500e+05	 0.0000e+00	 2.9675e+00	 4.5717e-01	 3.1777e-08	-1.3675e-07	 2.3204e-11	 3.5616e+05	 3.0315e+02	 2.0500e+01
 6.2500e+04	 0.0000e+00	 3.1858e+00	 5.7400e-01	 1.9949e-08	-7.5966e-08	 2.4912e-11	 5.6734e+05	 3.0315e+02	 2.2940e+01
 3.1250e+04	 0.0000e+00	 3.4591e+00	 7.0034e-01	 1.2170e-08	-4.2731e-08	 2.7049e-11	 9.2998e+05	 3.0315e+02	 2.5820e+01
 1.5625e+04	 0.0000e+00	 3.7894e+00	 8.3590e-01	 7.2627e-09	-2.4236e-08	 2.9632e-11	 1.5583e+06	 3.0315e+02	 2.8250e+01
 7.8125e+03	 0.0000e+00	 4.1802e+00	 9.8271e-01	 4.2691e-09	-1.3815e-08	 3.2687e-11	 2.6511e+06	 3.0315e+02	 3.0690e+01
 3.9062e+03	 0.0000e+00	 4.6467e+00	 1.1440e+00	 2.4848e-09	-7.9210e-09	 3.6335e-11	 4.5547e+06	 3.0315e+02	 3.5750e+01
 1.9531e+03	 0.0000e+00	 5.1435e+00	 1.3252e+00	 1.4393e-09	-4.5001e-09	 4.0221e-11	 7.8635e+06	 3.0313e+02	 3.8580e+01
 9.7656e+02	 0.0000e+00	 5.6633e+00	 1.5890e+00	 8.6289e-10	-2.5323e-09	 4.4285e-11	 1.3116e+07	 3.0315e+02	 4.1070e+01
 4.8828e+02	 0.0000e+00	 6.2081e+00	 2.0628e+00	 5.6007e-10	-1.4141e-09	 4.8545e-11	 2.0208e+07	 3.0315e+02	 4.3660e+01
 2.4414e+02	 0.0000e+00	 6.8299e+00	 2.9684e+00	 4.0298e-10	-7.9145e-10	 5.3407e-11	 2.8085e+07	 3.0315e+02	 4.6400e+01
 1.2207e+02	 0.0000e+00	 7.6527e+00	 4.6646e+00	 3.1663e-10	-4.5158e-10	 5.9841e-11	 3.5745e+07	 3.0315e+02	 4.9130e+01
 6.1035e+01	 0.0000e+00	 8.9153e+00	 7.7521e+00	 2.6310e-10	-2.6864e-10	 6.9714e-11	 4.3017e+07	 3.0315e+02	 5.1690e+01
 3.0518e+01	 0.0000e+00	 1.0995e+01	 1.3269e+01	 2.2517e-10	-1.6962e-10	 8.5978e-11	 5.0262e+07	 3.0315e+02	 5.4750e+01
 1.5259e+01	 0.0000e+00	 1.4485e+01	 2.3014e+01	 1.9527e-10	-1.1442e-10	 1.1327e-10	 5.7958e+07	 3.0315e+02	 5.7650e+01
 7.6294e+00	 0.0000e+00	 2.0423e+01	 4.0177e+01	 1.7045e-10	-8.2400e-11	 1.5970e-10	 6.6400e+07	 3.0315e+02	 6.0150e+01
 1.9073e+00	 0.0000e+00	 4.6157e+01	 1.2345e+02	 1.3094e-10	-4.7894e-11	 3.6093e-10	 8.6437e+07	 3.0315e+02	 6.2930e+01
 4.7684e-01	 0.0000e+00	 1.2261e+02	 3.7827e+02	 1.0030e-10	-3.2245e-11	 9.5875e-10	 1.1284e+08	 3.0315e+02	 7.4250e+01
 1.0000e-01	 0.0000e+00	 3.7949e+02	 1.3277e+03	 7.3830e-11	-2.1046e-11	 2.9674e-09	 1.5329e+08	 3.0314e+02	 1.0486e+02
